id,Name,Description,Building type,Property type,Amenities,host_id,Host_name,Host_identity_verified,Host_Experience,Host_fee,Neighbourhood,State,Zipcode,Currency,Season,Instant_bookable,Construction_year,Accommodation_year,Commission,Booking_total,Status,Bookings,Service_fee,Cancellation_Policy,Food_cost,Food_type,Minimum_nights,Reviews,Reviews_per_month,Review_rate_number,House_rules,Host_Revenue,Platform_Revenue,Total_Revenue
9336315,Miami Getaway,Spacious Private Room in two bedroom apartment,Shared room,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'LED TV', 'Air conditioning', 'Pool']",6912047,Cameron,confirmed,Inexperienced,0.15,Poncey-Highland in  Georgia,Mumbai,9624,usd,Holiday Season,Yes,2015-02-12,2016-02-12,0.14,74.54,not confirmed,752,0.0,Strict,35.56,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Muffins']",500,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",4.54,3," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",33.635000000000005,3.6774,56.4736
7247621,Maui Beach Retreat,Harlem/Hamilton Heights Cozy Room,Apartment,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Pool', 'Washer and Dryer', 'Free parking']",8849439,Yao & Rain,not confirmed,Moderately Experienced,0.0,Meireles in Brazil,Brazil,8160,usd,Non Holiday Season,Yes,2008-02-03,2009-02-03,0.13,66.82,not confirmed,353,0.0,Moderate,44.52,"['Cereals', 'Fruits', 'Vegetables', 'Juices', 'Eggs']",305,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,1.43,5,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",21.682,1.9304999999999999,63.45510000000001
7715446,Baker Avenue Bungalow,"Sunny, quiet, legal homelike suite-Pk Slope South",Entire house,House,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'Heaters', 'Washer and Dryer']",9752600,Gibson,not confirmed,Moderately Experienced,0.0,District VII in  Hungary,Darwin,6267,usd,Holiday Season,Yes,2014-12-20,2015-12-20,0.11,73.03,confirmed,556,0.67,Flexible,37.69,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Muffins']",362,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,9.37,6,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",22.303,15.179399999999998,118.99040000000001
9013823,Sandy Beachfront Oasis,Great Bedroom in Downtown Manhattan,Entire house,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'LED TV', 'Air conditioning', 'Pool']",4301978,Georgette'S,confirmed,Moderately Experienced,0.16,Poncey-Highland in  Georgia,Norway,3741,usd,Holiday Season,No,2022-10-13,2023-10-13,0.11,87.98,not confirmed,35,0.0,Moderate,25.28,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Muffins']",334,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",1.92,10,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",37.8748,5.183999999999999,48.1034
6899440,The Jackfruit Tree,Sunny Room in New Condo,Apartment,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Air conditioning', 'Washer and Dryer', 'LED TV']",7581183,Mila,not confirmed,Moderately Experienced,0.0,Meireles in Brazil,Brazil,9592,usd,Holiday Season,No,2015-07-31,2016-07-31,0.11,65.52,confirmed,827,0.66,Moderate,49.03,"['Cereals', 'Fruits', 'Vegetables', 'Muffins', 'OJ']",72,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,4.81,5,Clean up and treat the home the way you'd like your home to be treated,21.552,6.4935,115.7323
9855925,The Jackfruit Tree,Room in East Village with Private Entrance,Private room,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Air conditioning', 'Iron and iron board', 'Pool']",2717281,Reed,not confirmed,Experienced,0.0,Roma Sur in MexicoCity,MexicoCity,6226,usd,Holiday Season,Yes,2018-06-01,2019-06-01,0.11,74.03,not confirmed,433,0.0,Moderate,20.61,"['Cereals', 'Fruits', 'Vegetables', 'Juices', 'OJ']",147,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",7.46,9,No smoking,22.403,18.1278,55.9587
8424191,Chez Christopher’s,Spacious Brooklyn Loft - 2 Bedroom,Shared room,House,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Heaters', 'Washer and Dryer', 'Free parking']",2295544,Hawkins,confirmed,Experienced,0.15,Meireles in Brazil,Brazil,2345,usd,Holiday Season,Yes,2016-04-26,2017-04-26,0.15,68.69,not confirmed,887,0.0,Strict,42.41,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Muffins']",220,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,2.85,1,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,32.1725,0.7695,60.240199999999994
5262926,The Bungalow at 7th Avenue,Charming upper west side apartment,Apartment,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Iron and iron board', 'Pool', 'Smart locks for self check-in']",6358316,Diana And Peter,not confirmed,Moderately Experienced,0.0,Capucins in France,France,6773,usd,Non Holiday Season,No,2009-04-09,2010-04-09,0.13,86.77,confirmed,156,0.52,Strict,43.2,"['Cereals', 'Fruits', 'Vegetables', 'Muffins', 'OJ']",347,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",3.96,5,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,23.677,5.346,111.2695
3897551,The Jackfruit Tree,"Very Central, Nomad/Chelsea Loft Studio",Apartment,Apartment,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'Heaters', 'Smart locks for self check-in']",7353541,Zach,not confirmed,Experienced,0.0,Meireles in Brazil,Brazil,9577,usd,Holiday Season,Yes,2021-02-19,2022-02-19,0.14,65.54,confirmed,610,0.68,Strict,30.95,"['Cereals', 'Fruits', 'Vegetables', 'Eggs', 'Muffins']",368,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,4.35,3,I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand.,21.554000000000002,3.5234999999999994,96.0069
5282452,The Starfish,"17 Flr. Manhattan Views, Nr. Subway",Shared room,Apartment,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Heaters', 'Free parking', 'Pool']",9097465,Diego,not confirmed,Inexperienced,0.0,The Bukit Peninsula in  Indonesia,Rishikesh,7818,usd,Non Holiday Season,No,2017-07-13,2018-07-13,0.12,65.67,confirmed,430,0.47,Flexible,24.13,"['Cereals', 'Fruits', 'Vegetables', 'OJ', 'Milk']",178,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,1.5,8,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,21.567,3.2399999999999998,75.205
8796262,Casa Ahora,Sunny Room by Prospect Park,Private room,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Iron and iron board', 'Smart locks for self check-in', 'Coffee machine']",3038789,Layla,not confirmed,Moderately Experienced,0.0,Meireles in Brazil,Brazil,3612,usd,Non Holiday Season,Yes,2012-04-24,2013-04-24,0.13,88.37,not confirmed,318,0.0,Flexible,29.59,"['Cereals', 'Fruits', 'Vegetables', 'Yogurt', 'Milk']",95,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,8.22,9,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",23.837000000000003,19.974600000000002,67.2157
5724242,The Glen,Café DuChill — now supporting ASPCA,Shared room,Unconventional,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Smart locks for self check-in', 'Heaters', 'Coffee machine']",3442040,Carroll,confirmed,Moderately Experienced,0.14,Meireles in Brazil,Brazil,3941,usd,Holiday Season,Yes,2012-12-02,2013-12-02,0.15,64.04,not confirmed,17,0.0,Moderate,13.86,"['Cereals', 'Fruits', 'Vegetables', 'Eggs', 'Muffins']",243,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,6.45,10,I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand.,30.369600000000002,17.415,48.1962
